company all Details
"['U72200TN2017PTC119454', 'VIDHAI TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2021PTC141063', 'MYBANANA IT SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2008PTC148847', 'VIRTUSA SYSTEMS (INDIA) PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2017PTC119602', 'STARWARTZ CONSULTING SERVICES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2019PTC129588', 'TECHBLUE SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2020PTC135135', 'CAREEVER DIGITECH PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2017PTC119381', 'SPATIAL INTELLIGENCE PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2012PTC083852', 'CALIBSOFT TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72400TN2001PTC047395', 'HEALTHTRACK INFO SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2021PTC146704', 'EXCRIN DIGITAL LAB PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2022PTC155057', 'I&AU CONSULTING SERVICES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2000PTC045534', 'S4 CARLISLE PUBLISHING SERVICES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2022PTC156189', 'IDRIVEN GLOBAL TECH PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2022PTC156297', 'OURTEL ICON COMMUNICATION PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2022PTC156695', 'LEOSEN TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72500TN2022PTC154316', 'ARIA WEB 3 SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72100TN2018PTC123483', 'WUNDERBAKED TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2020PTC139891', 'CYBERMAXED WEBWORKS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2013PTC093310', 'GADAGET SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2019PTC131647', 'DIGITAL SCHOLAR PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72100TN2008PTC067646', 'RMZ ONE PARAMOUNT PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2016PTC110894', 'ITOCHU WORLDWIDE TECHNOLOGY PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72501TN2018PTC123556', 'ATHEE TECHBIZ ZONE PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2015PTC101044', 'IDDRIVEN PRIVATE LIMITED', 'Chennai', 'Active']"
[]
"['U72900TN2022PTC156395', 'LIFEASY TECH INNOVATIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2022PTC154854', 'SIMPLFIN TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2021PTC143265', 'VIRYA LOGISTICS TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2003PTC050380', 'VEEU ASSOCIATES PRIVATE LIMITED', 'Chennai', 'Active']"
